,AAPL UW Equity,AXP UN Equity,BA UN Equity,CAT UN Equity,CSCO UW Equity,CVX UN Equity,DIS UN Equity,DWDP UN Equity,GS UN Equity,HD UN Equity,IBM UN Equity,INTC UW Equity,JNJ UN Equity,JPM UN Equity,KO UN Equity,MCD UN Equity,MMM UN Equity,MRK UN Equity,MSFT UW Equity,NKE UN Equity,PFE UN Equity,PG UN Equity,TRV UN Equity,UNH UN Equity,UTX UN Equity,V UN Equity,VZ UN Equity,WBA UW Equity,WMT UN Equity,XOM UN Equity,INDU Index
,Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E),Price Earnings Ratio (P/E)
Dates,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO,PE_RATIO
5/31/1991,11.4078,8.5427,12.1597,65.5063,29.0541,11.6156,20.0803,#N/A N/A,#N/A N/A,45.431,11.0005,16.3012,22.9114,#N/A N/A,27.1327,15.6951,15.8855,23.5377,33.7692,10.5438,24.2784,17.4831,7.1785,#N/A N/A,9.1732,#N/A N/A,15.5295,#N/A N/A,36.6453,12.3414,#N/A N/A
6/28/1991,15.2574,8.2153,10.7901,290.4411,27.4775,12.5222,21.198,#N/A N/A,#N/A N/A,46.681,13.0544,12.6359,20.3163,#N/A N/A,24.5495,14.4824,16.1172,21.8939,27.6556,9.5822,22.1557,15.733,6.9955,#N/A N/A,11.8333,#N/A N/A,16.4795,#N/A N/A,36.5385,12.2637,#N/A N/A
7/31/1991,17.0037,9.265,10.9375,288.9705,28.442,12.8336,22.9566,#N/A N/A,#N/A N/A,50.1724,13.6089,12.7717,22.2932,#N/A N/A,27.0833,14.4273,15.1059,24.2742,29.8376,11.5716,24.7006,16.4193,6.9119,#N/A N/A,12.4333,#N/A N/A,16.6975,#N/A N/A,38.7195,12.4737,#N/A N/A
8/30/1991,19.4853,9.6758,11.7335,279.4117,32.8804,12.7669,22.5763,#N/A N/A,#N/A N/A,51.4729,13.0208,13.4511,22.5973,#N/A N/A,29.6171,14.3722,14.9552,23.9207,34.6076,12.5947,26.1477,16.9784,7.1628,#N/A N/A,12.7667,#N/A N/A,17.395,#N/A N/A,41.1585,12.2374,#N/A N/A
9/30/1991,19.186,13.9349,11.7749,263.9705,29.7101,13.6617,23.5323,#N/A N/A,#N/A N/A,51.9506,17.8664,11.0892,20.7453,#N/A N/A,27.6824,15.1515,16.0013,23.414,32.4818,13.6048,25.1448,17.4317,6.8207,#N/A N/A,16.3636,#N/A N/A,16.7146,#N/A N/A,38.8211,12.4217,#N/A N/A
10/31/1991,19.9612,10.3322,11.4559,263.9705,30.3738,13.8708,24.5128,#N/A N/A,#N/A N/A,53.8615,16.9397,10.6627,22.3298,#N/A N/A,28.5944,15.0433,16.1567,24.6511,34.2609,13.952,27.6544,17.175,7.1548,30.7692,17.6818,#N/A N/A,17.2657,#N/A N/A,35.9922,12.7349,#N/A N/A
11/29/1991,19.6705,10.3322,10.2668,263.9705,30.8411,12.4071,21.6229,#N/A N/A,#N/A N/A,53.9552,15.9483,10.7612,22.6232,#N/A N/A,29.7747,14.5563,15.4021,26.3605,35.4927,14.7556,25.5792,16.6359,7.4332,28.9063,17.3182,#N/A N/A,16.6687,#N/A N/A,38.035,12.239,#N/A N/A
12/31/1991,21.2406,9.8241,10.4715,263.9705,41.2773,18.6992,22.3276,#N/A N/A,#N/A N/A,60.3358,15.5819,12.5,26.082,#N/A N/A,33.0247,16.1017,17.4257,28.704,36.6758,18.0764,39.554,18.858,7.8025,31.3025,19.6364,#N/A N/A,13.4313,#N/A N/A,45.8171,13.6798,#N/A N/A
1/31/1992,24.3421,9.884,11.1568,263.9705,40.2406,17.2425,26.6176,#N/A N/A,#N/A N/A,50.9298,15.5819,15.3061,24.3736,#N/A N/A,31.893,18.4852,16.6482,27.0878,39.5604,18.4524,34.2723,20.8417,7.856,34.979,19.6364,#N/A N/A,12.8397,#N/A N/A,38.8989,13.0899,#N/A N/A
2/28/1992,25.3759,10.0637,10.0877,263.9705,43.5829,16.7005,29.9814,#N/A N/A,#N/A N/A,53.2025,15.5819,16.199,23.0638,#N/A N/A,33.642,17.161,16.6482,27.1525,40.7143,17.6329,34.9765,20.4148,7.7355,33.6134,19.6364,#N/A N/A,12.109,#N/A N/A,38.9892,12.8371,#N/A N/A
3/31/1992,21.7351,12.3519,8.9908,263.9705,42.246,20.7792,27.9643,#N/A N/A,#N/A N/A,53.6157,15.5819,14.4256,21.7149,#N/A N/A,32.185,16.5456,16.1444,24.5288,36.128,16.2742,31.3063,19.8659,7.1792,30.5985,19.6364,#N/A N/A,11.3756,#N/A N/A,38.4477,14.6696,#N/A N/A
4/30/1992,22.4347,12.1494,9.0164,263.9705,32.8829,22.6461,26.8808,#N/A N/A,#N/A N/A,51.5496,15.5819,13.9687,21.1303,#N/A N/A,32.6772,18.4129,17.054,24.1745,33.6128,15.1268,32.2072,20.0602,6.8228,29.5367,19.6364,#N/A N/A,12.198,#N/A N/A,35.6655,16.1097,#N/A N/A
5/29/1992,22.2948,12.2844,8.9908,263.9705,41.2162,23.1737,27.9413,#N/A N/A,#N/A N/A,54.7481,15.5819,13.0548,21.5757,#N/A N/A,34.6457,19.4502,17.3951,25.1332,36.8902,13.4884,33.5586,19.9631,7.3702,34.2664,19.6364,#N/A N/A,11.8211,#N/A N/A,36.1775,16.2437,#N/A N/A
